verse_no,en,hmr
1,"The word of Jehovah that came to Micah the Morashtite in the days of Jotham, Ahaz, and Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem.","Juda lal Jotham, Ahaz le Hezekia hai inlal laia Moreseth mi Mika kuoma LALPA thu hung tlung, Samaria khuo le Jerusalem chung- châng thu a hmu chu."
2,"Hear, ye peoples, all of you; hearken, O earth, and all that therein is: and let the Lord Jehovah be witness against you, the Lord from his holy temple.","Nangni chihai, in rêngin hre unla, aw leihnuoi le a sûnga um po pohai; ngai ro, Lalpa PATHIEN, Lalpa chu a biekin inthienga inthawkin nangni kala in chungthu hretu ni raw se."
3,"For, behold, Jehovah cometh forth out of his place, and will come down, and tread upon the high places of the earth.","Ngai ta u, LALPA chu a hmuna inthawkin a hung suok a, hung ṭum a ta, hnuoi hmun insânghai chu a chîl ding a ni sih a."
4,"And the mountains shall be melted under him, and the valleys shall be cleft, as wax before the fire, as waters that are poured down a steep place.","Mei bula khuoihlu ang le hmun inṭêna tui inkhaw thla ang elin, tlânghai chu a hnuoia chun intui an ta, vadung ruomhai chu kakintan an tih."
5,"For the transgression of Jacob is all this, and for the sins of the house of Israel. What is the transgression of Jacob? is it not Samaria? and what are the high places of Judah? are they not Jerusalem?",Hieng po po hi Jakobhai baw- sietna le Israel sûngkuohai suolna lei a nih. Jakobhai bawsietna chu ieng am a na? Samaria ni lo am a nih? Juda bâwlhmunhai chu ieng am a na? Jerusalem ni lo am a nih?
6,"Therefore I will make Samaria as a heap of the field, and as places for planting vineyards; and I will pour down the stones thereof into the valley, and I will uncover the foundations thereof.","Chuleiin, Samaria chu phûla thil se um khâwm angin siem ka ta, grêp huon hmun ang elin; chun, chu hmuna lunghai chu vadung ruom tieng inhlum thlâng ka ta, a lung- phûmhai chu suklang ka tih."
7,"And all her graven images shall be beaten to pieces, and all her hires shall be burned with fire, and all her idols will I lay desolate; for of the hire of a harlot hath she gathered them, and unto the hire of a harlot shall they return.","A milim siemfâwmhai po po chu sukkawi hâwp vawng nîng an ta; a nawchizawr manhai chu meia raw hmang nîng a tih, a milimhai po po chu sukbohmang ka tih; nawchizawr mana a lâk khâwm a ni leiin, nawchizawr man bawkin ṭhang an tih."
8,"For this will I lament and wail; I will go stripped and naked; I will make a wailing like the jackals, and a lamentation like the ostriches.","Hi hi lei hin ṭap ka ta, khêk rak rak ka ta, inhlîp le saruokin um ka ta, sihalhai angin khêk ka ta, varîng- seihai angin inrûm ka tih."
9,"For her wounds are incurable; for it is come even unto Judah; it reacheth unto the gate of my people, even to Jerusalem.","A hliemnahai chu sukdam thei a ni nawh; Juda ram a tlung ta hiel sih a; ka mihai kawtkhâr, Jerusalem meu khawm a tlung a nih."
10,"Tell it not in Gath, weep not at all: at Beth-le-aphrah have I rolled myself in the dust.","Gath khuoa chun hril naw unla, ṭap dêr naw ro; Beth-le-Aphra khuoa chun pilvutah inbuol rawh."
11,"Pass away, O inhabitant of Shaphir, in nakedness and shame: the inhabitant of Zaanan is not come forth; the wailing of Beth-ezel shall take from you the stay thereof.","Aw Sapphir mi, saruok le inzak- takin fe hmang rawh; Zaanan mi chu a hung suok nawh; Bethezel ṭapna chun ngîr chankhal a ti cheu."
12,"For the inhabitant of Maroth waiteth anxiously for good, because evil is come down from Jehovah unto the gate of Jerusalem.","Maroth mi chun chanṭha chang a nghâkhla hlie hlie el a, LALPA kuoma inthawka thil ṭha naw chu Jerusalem kawtkhâr bul chena a hung tlung thlâk leiin."
13,"Bind the chariot to the swift steed, O inhabitant of Lachish: she was the beginning of sin to the daughter of Zion; for the transgressions of Israel were found in thee.","Aw Lakis mi, tawlailîr chu sakawr hrâta chun bel rawh; ama hi Zion naunu suolna bul a nih, Israel- hai bawsietnahai chu nangmaa hin a um a lo ni sih a."
14,Therefore shalt thou give a parting gift to Moresheth-gath: the houses of Achzib shall be a deceitful thing unto the kings of Israel.,"Chuleiin, Moreseth-gath kuoma chun inthlana thilpêk i pêk ding a nih: Akzik inhai chu Israel lalhai ta dingin hlêmna nîng a tih."
15,"I will yet bring unto thee, O inhabitant of Mareshah, him that shall possess thee: the glory of Israel shall come even unto Adullam.","Aw Maresa mi, nangma neitu ding i kuomah la hung ṭhuoi ka tih; Israelhai ropuina chu Adullam chen rauin hung a tih."
16,"Make thee bald, and cut off thy hair for the children of thy delight: enlarge thy baldness as the eagle; for they are gone into captivity from thee.","Invâw kawl la, i nau dittakhai lei chun invâw kawl rawh; mulukawl ang elin insukkawl nasa rawh, i kuoma inthawka sala ṭhuoiin an um ta sih a."
